,time,mean_water_level(m),Hrms,Hm0,Hmax,Tm01,Tm02,W_Tpeak
0,2022-11-26 08:00:00,4.539445926814304,0.2339269824082077,0.33082271112669975,0.6616454222533995,8.011901344190036,6.980599122383119,2.931596091205212
1,2022-11-26 08:15:00,4.980470375631081,0.22460548784203563,0.3176401270896321,0.6352802541792641,8.386788682528396,7.341261479137858,2.912621359223301
2,2022-11-26 09:12:56,5.2991806458670645,0.2598374920136286,0.3674657052186843,0.7349314104373686,9.657015000389508,8.270111308424445,2.8125
3,2022-11-26 10:10:52,5.443019837466887,0.3008076577527467,0.4254062692596187,0.8508125385192374,9.84950960715234,8.836771029712015,3.0201342281879193
4,2022-11-26 11:08:48,5.3881851239298,0.2954481690721389,0.417826807680118,0.835653615360236,10.04476773635007,8.918520377960732,2.9605263157894735
5,2022-11-26 12:06:44,5.14276253541439,0.2809290635840293,0.3972936917853078,0.7945873835706156,11.805201707814334,9.09720389321222,2.8662420382165603
6,2022-11-26 13:04:40,4.7612024152427495,0.2650373299806278,0.3748193865937571,0.7496387731875142,9.63026848882498,8.375582115638863,3.0100334448160537
7,2022-11-26 14:02:36,4.31541875964671,0.3075745227612242,0.43497606152935553,0.8699521230587111,9.49980539927644,8.665611155539581,3.0
8,2022-11-26 15:00:32,3.8062774725476993,0.2951225468474463,0.41736630831374766,0.8347326166274953,9.798171934681788,8.917167600915564,3.0
9,2022-11-26 15:15:32,3.4588413021811566,0.3325656140557093,0.47031880177652047,0.9406376035530409,10.813348203747378,9.665168526196204,3.0
10,2022-11-26 16:13:28,3.2735055283243764,0.2885733119860944,0.40810429154965716,0.8162085830993143,10.08611895775787,8.935783937997849,2.9702970297029703
11,2022-11-26 17:11:24,3.241700129754592,0.27590805330857093,0.3901929109569399,0.7803858219138798,9.233130404350076,8.188289237642923,2.912621359223301
12,2022-11-26 18:09:20,3.347799519759887,0.29052172813598687,0.41085976809398184,0.8217195361879637,10.633848193519711,8.809366703208852,2.9605263157894735
13,2022-11-26 19:07:16,3.563179291096665,0.31441588571008094,0.44465120979674544,0.8893024195934909,10.62551819399691,8.867526785276993,2.941176470588235
14,2022-11-26 20:05:12,3.8451555955326584,0.2734741992714624,0.38675092156882446,0.7735018431376489,9.177050186571506,7.9662298858278575,2.7863777089783284
15,2022-11-26 21:03:08,4.138704549759367,0.24587877848544482,0.34772510323384603,0.6954502064676921,8.541906861717733,7.548558913215238,2.6785714285714284
16,2022-11-26 22:01:04,4.3982221842463005,0.2519470384405444,0.35630691876235343,0.7126138375247069,8.317601748766737,7.060382747047262,3.0303030303030303
17,2022-11-26 22:16:04,4.52502742783974,0.23914955101680974,0.3382085384834087,0.6764170769668174,7.608820868982089,6.536807018636675,2.848101265822785
18,2022-11-26 23:14:00,4.447775126288674,0.24987776795972624,0.35338052838416206,0.7067610567683241,7.580735161558093,6.517193895476871,2.9605263157894735
19,2022-11-27 00:11:56,4.208616102162904,0.2936244021865376,0.41524761181589376,0.8304952236317875,9.266493323140102,7.491086460653978,2.803738317757009
20,2022-11-27 01:09:52,3.8865454216608604,0.34794861173762,0.4920736457282325,0.984147291456465,11.392916305971815,8.112211461079156,2.6627218934911245
21,2022-11-27 02:07:48,3.5574710211195573,0.3425936388235854,0.4845005704070642,0.9690011408141284,9.627573610426184,7.1988048934138265,3.0100334448160537
22,2022-11-27 03:05:44,3.2847186457125646,0.3243059072299796,0.4586378123623479,0.9172756247246958,9.099948122172941,7.832479090451419,2.9605263157894735
23,2022-11-27 04:03:40,3.1048329992998718,0.3300488086085608,0.4667595013793086,0.9335190027586172,9.519683741944094,7.967263109219519,3.0303030303030303
24,2022-11-27 05:01:36,3.07504455061284,0.2758872219879428,0.3901634510207855,0.780326902041571,8.739481005450191,7.54569995991405,2.803738317757009
25,2022-11-27 05:16:36,3.238302891703358,0.2871326070595372,0.4060668271031422,0.8121336542062844,8.62109289734629,7.509545318625609,3.0201342281879193
26,2022-11-27 06:14:32,3.5319190515347496,0.2919649515149456,0.4129007941700393,0.8258015883400786,9.0128299972225,7.5509731051443945,2.8391167192429023
27,2022-11-27 07:12:28,3.953504344065937,0.30751101841719536,0.4348862528247603,0.8697725056495206,11.452126872797258,8.030687900928362,2.8938906752411575
28,2022-11-27 08:10:24,4.409581841701468,0.3685378366312947,0.521191206811617,1.042382413623234,14.525850907087676,9.611749514561833,2.912621359223301
29,2022-11-27 09:08:20,4.835416411197327,0.32313831462853587,0.45698658707005974,0.9139731741401195,13.180139050758136,9.334064679110949,3.0303030303030303
30,2022-11-27 10:06:16,5.178033268968678,0.2175567021350001,0.30767163874448084,0.6153432774889617,8.497096818419234,7.011824523466894,3.0
31,2022-11-27 11:04:12,5.391934652739365,0.217571930842449,0.30769317538909247,0.6153863507781849,7.92033289265127,6.979536345179899,2.903225806451613
32,2022-11-27 12:02:08,5.424000301712485,0.2241716862411452,0.3170266389822737,0.6340532779645474,7.91749477808397,6.977413995728878,2.931596091205212
33,2022-11-27 13:00:04,5.233924189849901,0.22034141025465664,0.3116098107345496,0.6232196214690991,7.8532469531641675,7.095132198398662,2.9508196721311473
34,2022-11-27 13:15:04,4.8965053211923815,0.22811439302969644,0.3226024683951033,0.6452049367902066,8.525702598114318,7.535764969534788,2.941176470588235
35,2022-11-27 14:13:00,4.49142790804121,0.2559117205011703,0.3619138259029879,0.7238276518059757,9.72526831682157,7.4354548390603945,2.9508196721311473
36,2022-11-27 15:10:56,4.0751162546503865,0.3178503917932648,0.449508334879637,0.899016669759274,13.176381192041427,8.569267595461914,3.0
37,2022-11-27 16:08:52,3.700534318274592,0.2833193027492854,0.4006740004301283,0.8013480008602566,12.351515923580408,8.500973518382866,2.8662420382165603
38,2022-11-27 17:06:48,3.4476040091925735,0.23253496474324498,0.32885410086584654,0.6577082017316931,9.410625975273812,8.010110559018658,2.8391167192429023
39,2022-11-27 18:04:44,3.3374630699237775,0.25760627253535257,0.36431028437187535,0.7286205687437507,9.51025105927389,8.493517015408008,2.9508196721311473
40,2022-11-27 19:02:40,3.360500313258429,0.228880514511165,0.3236859277846215,0.647371855569243,8.390899070390851,7.5963950872522865,2.941176470588235
41,2022-11-27 20:00:36,3.529461883125439,0.22940248326903928,0.3244241030811424,0.6488482061622848,9.10617856808682,8.162338262398368,2.74390243902439
42,2022-11-27 20:15:36,3.771696131647865,0.21489669847974285,0.303909825499254,0.607819650998508,8.712075710676636,7.934019483971889,3.0303030303030303
43,2022-11-27 21:13:32,4.03472274101771,0.1959609627918962,0.27713065127598907,0.5542613025519781,8.308829226176234,7.1802698683100825,2.7522935779816513
44,2022-11-27 22:11:28,4.268668880807467,0.23591982849639015,0.3336410210923295,0.667282042184659,10.999217233091839,8.883243517709028,3.0201342281879193
45,2022-11-27 23:09:24,4.422552648049424,0.21765071419693108,0.30780459187749026,0.6156091837549805,8.597392431301289,7.650451773476771,2.6470588235294117
46,2022-11-28 00:07:20,4.427575567393828,0.21381052847941495,0.3023737491537475,0.604747498307495,8.18562319616046,6.853137048348269,2.769230769230769
47,2022-11-28 01:05:16,4.283774444349965,0.221202579942173,0.3128276885861398,0.6256553771722796,8.3564160124562,7.315432560863614,2.8753993610223643
48,2022-11-28 02:03:12,4.035458587778665,0.21579340401556232,0.30517795862946495,0.6103559172589299,7.49342132326326,6.516446395610018,2.8938906752411575
49,2022-11-28 03:01:08,3.7434305787758855,0.20228704980018133,0.2860770893198581,0.5721541786397162,6.938954478756346,6.181345282688866,2.9220779220779223
50,2022-11-28 03:16:08,3.4739113253757106,0.2024281320220337,0.2862766097114115,0.572553219422823,6.599249605731166,5.852172700661064,2.931596091205212
51,2022-11-28 04:14:04,3.3165708615139193,0.21214548349042858,0.3000190199483616,0.6000380398967232,7.226729803494168,6.104883243872718,2.941176470588235
52,2022-11-28 05:12:00,3.2754552593557653,0.22469649819191057,0.31776883516074156,0.6355376703214831,7.582778873113921,6.591527083897989,3.0100334448160537
53,2022-11-28 06:09:56,3.3573989798951698,0.28583276293216947,0.40422856990924777,0.8084571398184955,8.215410476878688,6.969240336165143,2.5787965616045847
54,2022-11-28 07:07:52,3.57186015592642,0.28227438149030887,0.3991962586140717,0.7983925172281434,9.382516023152197,7.215177042434742,2.857142857142857
55,2022-11-28 08:05:48,3.8902037037302164,0.2500506113998551,0.3536249659213596,0.7072499318427192,8.133388096939594,6.656118601257802,3.0303030303030303
